LRRRLRRLRRLRLRRLRRRLLRRLLRRLRRRLRLRRLLRRLRRLRLRRRLRRRLRLRLRLRRRLRRLRRRLRLRRLLLRLRLLRLRRRLRLRRRLRRRLLLRRLRLRRLRRRLLRRLRRLRRLRRRLRRLRRLRRLRLRRLRLRLRLRLRLRRRLRRLRLLLRRRLRLRRRLRRRLLRRLRRRLRRLRRRLRRRLRLRRRLRRLRLLRRLLRLRRLRLRLLRRLLRRLLRRLRRLRRRLRLRRLRLRRRLRRRLLRLRRLLLLRRRLLRLLLRRLRRRLRRRLRRRLRLRRRLRRRLRRRLRLRRRR

FJT = (XDJ, LQV)
VLP = (BJP, TTH)
NVD = (KTC, TGT)
VCC = (SRV, GMR)
PNM = (SFQ, XMX)
DPD = (HHJ, MGG)
GQA = (BGC, BHR)
VQH = (RCV, VJC)
VHR = (GLQ, GJF)
SQC = (CDT, HKV)
GSV = (PKP, RMP)
JLZ = (KMM, QCG)
THG = (PTL, SXP)
FTC = (VFH, TPL)
JTT = (VQC, QVC)
KQC = (RCR, TRT)
RGP = (DPG, MFQ)
TDP = (XJV, QCR)
PCC = (LRD, XXR)
MRQ = (PPS, KHB)
TTX = (VSJ, XPN)
JNR = (DFB, NSV)
KJK = (PCR, LMT)
JLB = (GXB, HND)
BJN = (KNX, NXQ)
VDV = (XNB, DTB)
TXB = (DXL, PCN)
MJS = (NQK, PDV)
RPV = (BNF, QNS)
CLM = (KLR, QCT)
SXP = (JMV, MGN)
HQG = (LNV, RTX)
RQJ = (HQG, TSJ)
LGD = (PNM, RHG)
XPN = (LGC, CTR)
JJB = (CDH, TXV)
HVZ = (QRH, VHK)
LSV = (FRK, LXV)
RFH = (KMJ, DKH)
FFV = (DJK, MCR)
BMN = (HLV, NMQ)
RBC = (FVH, CXN)
PVK = (HKJ, LGD)
BHK = (MLL, JCP)
VJF = (DCM, SGJ)
XVB = (QBS, MNF)
NRT = (GLL, GLL)
NXL = (CRV, PQB)
TVC = (RKR, PVD)
LDX = (TKH, BHK)
JPG = (DMK, HHQ)
PHV = (JJS, CKP)
NVQ = (RRC, SHR)
KJH = (JKQ, CCR)
LHV = (MVL, LNK)
BBK = (NMH, SQL)
NXP = (PCH, CNJ)
STL = (LMR, HRB)
CFK = (NGC, KFK)
FGC = (VJM, JPG)
SFQ = (CXR, LCT)
KDN = (JPS, QBJ)
PCR = (DSB, TLL)
JKQ = (MRR, JFS)
FNS = (XNB, DTB)
BBP = (LTR, VLP)
MGN = (RKL, RMN)
HCM = (XPC, PHB)
RNJ = (QVC, VQC)
HVT = (FTN, JJQ)
NGP = (JSJ, TKR)
XBL = (BTH, JXS)
AAA = (GFB, FBF)
HXN = (SMM, RVJ)
CMF = (FJT, QMT)
XLR = (HBL, RXC)
NNK = (RCR, TRT)
HNM = (HKN, KBP)
CNN = (JCX, PXH)
VSF = (QFN, HTG)
MQM = (SSQ, QTS)
NBM = (TPD, CVS)
LJB = (SMK, KJK)
VTD = (NGG, NGG)
BCH = (FXM, BPK)
VJM = (DMK, HHQ)
TVX = (HJP, XSP)
TFD = (TSD, TSD)
XDR = (XPS, RDX)
XPD = (VBR, JLN)
TSJ = (RTX, LNV)
NQK = (FVP, NXF)
DCC = (QJL, QFQ)
HKB = (XBH, RXS)
MCR = (RTL, LSC)
GFB = (PND, KRM)
CVM = (JSH, CMP)
QXK = (VTD, XTD)
QFG = (TVX, TCJ)
GQH = (JLB, SFN)
NPB = (PRQ, MLJ)
LRD = (VDV, FNS)
QBJ = (FTV, QNM)
TBB = (FKD, LKP)
HBL = (VMF, DQJ)
HVC = (PQR, BXX)
TQC = (LNK, MVL)
KFQ = (PBK, KPD)
TRH = (SQD, CHT)
TMT = (RSP, SLD)
JBM = (XJV, QCR)
BXX = (NDN, SHC)
JFM = (GVJ, HLH)
PPP = (HGX, JJT)
DXG = (NPK, SBC)
KDQ = (QKD, XRD)
